youtube_id,original_name,new_name,new_path
aLg98S4sxsE,aLg98S4sxsE_frames000002639.jpeg,2b31a7d6-b8b4-4e4c-9c14-4ed9c81c1890.jpeg,grouped_dataset/group_0/2b31a7d6-b8b4-4e4c-9c14-4ed9c81c1890.jpeg
Fd1KJ3RWxaw,Fd1KJ3RWxaw_frames000002081.jpeg,91e26df0-3fb9-4177-8d60-1337ebcc6bcf.jpeg,grouped_dataset/group_1/91e26df0-3fb9-4177-8d60-1337ebcc6bcf.jpeg
B3nfjlD1zvk,B3nfjlD1zvk_frames000004977.jpeg,50b7c5fc-df3e-403a-95ff-ae1538e4cf82.jpeg,grouped_dataset/group_2/50b7c5fc-df3e-403a-95ff-ae1538e4cf82.jpeg
UOheOYV-H2U,UOheOYV-H2U_frames000000055.jpeg,3420af37-a5dc-4836-8f12-a11332e6a7bb.jpeg,grouped_dataset/group_3/3420af37-a5dc-4836-8f12-a11332e6a7bb.jpeg
cn_taKva-AQ,cn_taKva-AQ_frames000008898.jpeg,067c1be5-b33f-4cc7-af0d-944bc2f58d56.jpeg,grouped_dataset/group_4/067c1be5-b33f-4cc7-af0d-944bc2f58d56.jpeg
cn_taKva-AQ,cn_taKva-AQ_frames000007889.jpeg,f6938949-c043-4dcf-9e72-4ebbdaf4ebce.jpeg,grouped_dataset/group_5/f6938949-c043-4dcf-9e72-4ebbdaf4ebce.jpeg
7iCczf3fHWY,7iCczf3fHWY_frames000001559.jpeg,ddef05ee-5ed7-4a59-84b6-8232dde6ac64.jpeg,grouped_dataset/group_6/ddef05ee-5ed7-4a59-84b6-8232dde6ac64.jpeg
pSY74-B7M2c,pSY74-B7M2c_frames000001922.jpeg,c280dca6-60df-4b39-97c3-2efad69c96c4.jpeg,grouped_dataset/group_7/c280dca6-60df-4b39-97c3-2efad69c96c4.jpeg
toc-YQLDIZ8,toc-YQLDIZ8_frames000001631.jpeg,afd16791-ca09-4776-8c75-b983cb993f07.jpeg,grouped_dataset/group_8/afd16791-ca09-4776-8c75-b983cb993f07.jpeg
jZilbLz0m8I,jZilbLz0m8I_frames000000844.jpeg,e2058a6d-05d4-45c5-b827-cfb7f4b586c5.jpeg,grouped_dataset/group_9/e2058a6d-05d4-45c5-b827-cfb7f4b586c5.jpeg
puWTz8toRHc,puWTz8toRHc_frames000000651.jpeg,de4423b7-c8c0-4535-a193-bb926960734e.jpeg,grouped_dataset/group_10/de4423b7-c8c0-4535-a193-bb926960734e.jpeg
puWTz8toRHc,puWTz8toRHc_frames000000031.jpeg,8777379b-3110-40c6-a7c7-5d633d89c1b1.jpeg,grouped_dataset/group_11/8777379b-3110-40c6-a7c7-5d633d89c1b1.jpeg
Fd1KJ3RWxaw,Fd1KJ3RWxaw_frames000001653.jpeg,c54466f2-d202-4e59-b0db-d0266d037aef.jpeg,grouped_dataset/group_12/c54466f2-d202-4e59-b0db-d0266d037aef.jpeg
FBHGV24szs4,FBHGV24szs4_frames000003052.jpeg,b89a1edc-8d26-4972-a9a5-1af6db029b22.jpeg,grouped_dataset/group_13/b89a1edc-8d26-4972-a9a5-1af6db029b22.jpeg
cn_taKva-AQ,cn_taKva-AQ_frames000010597.jpeg,057fc9b4-5f21-4bd9-9469-d33deaa889df.jpeg,grouped_dataset/group_14/057fc9b4-5f21-4bd9-9469-d33deaa889df.jpeg
cn_taKva-AQ,cn_taKva-AQ_frames000004025.jpeg,6149a5d9-98bd-43a3-816c-711d50d95f60.jpeg,grouped_dataset/group_15/6149a5d9-98bd-43a3-816c-711d50d95f60.jpeg
puWTz8toRHc,puWTz8toRHc_frames000003861.jpeg,ae28f8bf-f23b-49d4-b522-f68816341f50.jpeg,grouped_dataset/group_16/ae28f8bf-f23b-49d4-b522-f68816341f50.jpeg
uhKkvhs6SYc,uhKkvhs6SYc_00138.jpeg,d0cabb59-8da1-4247-95eb-98f552bb63f8.jpeg,grouped_dataset/group_17/d0cabb59-8da1-4247-95eb-98f552bb63f8.jpeg
UOheOYV-H2U,UOheOYV-H2U_frames000009164.jpeg,4c5a52c7-38a3-4016-b1d3-eddd1345ee5f.jpeg,grouped_dataset/group_18/4c5a52c7-38a3-4016-b1d3-eddd1345ee5f.jpeg
UOheOYV-H2U,UOheOYV-H2U_frames000004361.jpeg,c583e8b0-d5f5-42d0-9f47-1a9c91ac2993.jpeg,grouped_dataset/group_19/c583e8b0-d5f5-42d0-9f47-1a9c91ac2993.jpeg
UOheOYV-H2U,UOheOYV-H2U_frames000004612.jpeg,ea7299ab-3d18-4a9c-8ed0-ed009004aac1.jpeg,grouped_dataset/group_20/ea7299ab-3d18-4a9c-8ed0-ed009004aac1.jpeg
aLg98S4sxsE,aLg98S4sxsE_frames000002826.jpeg,7da623d6-fe29-4f0f-83bf-0df7a3679657.jpeg,grouped_dataset/group_21/7da623d6-fe29-4f0f-83bf-0df7a3679657.jpeg
_74yzN4lf3w,_74yzN4lf3w_frames000001372.jpeg,b82e6e41-dadd-42e9-aa31-df81d5dd3226.jpeg,grouped_dataset/group_22/b82e6e41-dadd-42e9-aa31-df81d5dd3226.jpeg
pSY74-B7M2c,pSY74-B7M2c_frames000000837.jpeg,b224b777-84c8-4185-97f8-bf879afb58b5.jpeg,grouped_dataset/group_23/b224b777-84c8-4185-97f8-bf879afb58b5.jpeg
UOheOYV-H2U,UOheOYV-H2U_frames000010114.jpeg,48d0f669-451c-4bac-8640-5bddc50dcd6f.jpeg,grouped_dataset/group_24/48d0f669-451c-4bac-8640-5bddc50dcd6f.jpeg
jZilbLz0m8I,jZilbLz0m8I_frames000002302.jpeg,414a0630-b643-4090-8cf6-4e1dc94e210c.jpeg,grouped_dataset/group_25/414a0630-b643-4090-8cf6-4e1dc94e210c.jpeg
aLg98S4sxsE,aLg98S4sxsE_frames000001963.jpeg,09fdfddd-eda6-4992-b907-423d7ab86274.jpeg,grouped_dataset/group_26/09fdfddd-eda6-4992-b907-423d7ab86274.jpeg
cn_taKva-AQ,cn_taKva-AQ_frames000008757.jpeg,3330ab9c-7032-41ba-a6a7-5c47e6f8d063.jpeg,grouped_dataset/group_27/3330ab9c-7032-41ba-a6a7-5c47e6f8d063.jpeg
AWeLiVf-Pew,AWeLiVf-Pew_00136.jpeg,47b56bdd-54cb-4d54-8f95-a18ca771461c.jpeg,grouped_dataset/group_28/47b56bdd-54cb-4d54-8f95-a18ca771461c.jpeg
aLg98S4sxsE,aLg98S4sxsE_frames000003176.jpeg,3b1dc16e-d695-45e5-ad7a-f4691ecb32ef.jpeg,grouped_dataset/group_29/3b1dc16e-d695-45e5-ad7a-f4691ecb32ef.jpeg
